MoleculeName
UniProt:Q06187 BTK
UniProt:P48995 TRPC1
UniProt:P51451 BLK
UniProt:O43865 AHCYL1
UniProt:Q6ZUJ8 PIK3AP1
UniProt:Q92478 CLEC2B
UniProt:Q9NZS2 KLRF1
UniProt:P13612 ITGA4
UniProt:P26010 ITGB7
UniProt:Q13477-1 MADCAM1
UniProt:Q5NV62 IGLV8-61
UniProt:Q5NV61 IGLV4-3
UniProt:Q5NV68 IGLV5-37
UniProt:Q5NV65 IGLV2-18
UniProt:Q5NV64 IGLV3-16
UniProt:Q5NV66 IGLV2-33
UniProt:Q5NV67 IGLV1-36
UniProt:Q5NV80 IGLV7-43
UniProt:Q5NV81 IGLV1-44
UniProt:Q5NV82 IGLV5-45
UniProt:Q5NV69 IGLV1-40
UniProt:Q5NV75 IGLV3-22
UniProt:Q5NV79 IGLV4-60
UniProt:Q5NV83 IGLV7-46
UniProt:Q5NV86 IGLV10-54
UniProt:Q5NV89 IGLV2-23
UniProt:Q5NV92 IGLV4-69
UniProt:Q5NV90 IGLV3-25
UniProt:Q5NV84 IGLV2-11
UniProt:Q5NV91 IGLV3-27
UniProt:Q5NV85 IGLV3-12
UniProt:Q5NV87 IGLV11-55
UniProt:P31994 FCGR2B
UniProt:P08637 FCGR3A
UniProt:Q9UMD9 COL17A1
UniProt:Q6GTX8 LAIR1
UniProt:O76036 NCR1
UniProt:P03452 HA
UniProt:P04853 HN
UniProt:P78310 CXADR
UniProt:Q86YT9 JAML
UniProt:O60880 SH2D1A
UniProt:O14796 SH2D1B
UniProt:Q96DU3 SLAMF6
UniProt:Q68D85 NCR3LG1
UniProt:O14931 NCR3
UniProt:P06126 CD1A
UniProt:P29017 CD1C
UniProt:P15813 CD1D
UniProt:P29016 CD1B
UniProt:Q6ISS4 LAIR2
UniProt:P02461 COL3A1
UniProt:P02452 COL1A1
UniProt:Q9NQ25 SLAMF7
UniProt:Q8IYS5 OSCAR
UniProt:P02458 COL2A1
UniProt:P35247 SFTPD
UniProt:Q9BZZ2 SIGLEC1
UniProt:Q96PQ1 SIGLEC12
UniProt:Q96LC7 SIGLEC10
UniProt:Q9NYZ4 SIGLEC8
UniProt:O15389 SIGLEC5
UniProt:Q96RL6 SIGLEC11
UniProt:O43699 SIGLEC6
UniProt:P20138 CD33
UniProt:Q9Y336 SIGLEC9
UniProt:Q9Y286 SIGLEC7
UniProt:Q8TD46 CD200R1
UniProt:P41217 CD200
UniProt:Q496F6 CD300E
UniProt:Q8TDQ1 CD300LF
UniProt:Q08708 CD300C
UniProt:Q9UGN4 CD300A
UniProt:Q6UXG3 CD300LG
UniProt:Q6UXZ3 CD300LD
UniProt:A8K4G0 CD300LB
UniProt:Q5T2D2 TREML2
UniProt:Q9NZC2 TREM2
UniProt:Q9NP99 TREM1
UniProt:Q6UXN2 TREML4
UniProt:O95944 NCR2
UniProt:Q86YW5 TREML1
UniProt:Q9UHP7 CLEC2D
UniProt:Q12918 KLRB1
UniProt:P43628 KIR2DL3
UniProt:P43627 KIR2DL2
UniProt:Q92692 NECTIN2
UniProt:Q15762 CD226
UniProt:P01732 CD8A
UniProt:P10966 CD8B
UniProt:P40200 CD96
UniProt:P15151 PVR
UniProt:P12830 CDH1
UniProt:Q96E93 KLRG1
UniProt:O43914 TYROBP
UniProt:Q14954 KIR2DS1
UniProt:O15181 cd21
UniProt:P60033 CD81
UniProt:P01024 C3
UniProt:P06725 UL83
UniProt:P43631 KIR2DS2
UniProt:P43630 KIR3DL2
UniProt:Q99706 KIR2DL4
UniProt:Q13241 KLRD1
UniProt:P26715 KLRC1
UniProt:Q6UXB4 CLEC4G
UniProt:Q9NQX5 NPDC1
UniProt:Q5KU26 COLEC12
UniProt:Q8IYJ0 PIANP
UniProt:Q9UKJ1 PILRA
UniProt:P43629 KIR3DL1
UniProt:O95727 CRTAM
UniProt:P32942 ICAM3
UniProt:Q14773 ICAM4
UniProt:Q9UMF0 ICAM5
UniProt:P13598 ICAM2
UniProt:P20701 ITGAL
UniProt:P43626 KIR2DL1
UniProt:P14151 SELL
UniProt:P28906-1 CD34
UniProt:Q8IVK1 GLYCAM1
UniProt:Q29980 MICB
UniProt:Q9BZM6 ULBP1
UniProt:Q29983 MICA
UniProt:Q8TD07 RAET1E
UniProt:Q9BZM4 ULBP3
UniProt:P26718 KLRK1
UniProt:Q9UBK5 HCST
UniProt:P14209 CD99
UniProt:Q9UKJ0 PILRB
UniProt:O95971 CD160
UniProt:Q8N6C8 LILRA3
UniProt:O75023 LILRB5
UniProt:Q8N149 LILRA2
UniProt:A6NI73 LILRA5
UniProt:Q8NHJ6 LILRB4
UniProt:O75022 LILRB3
UniProt:Q6PI73 LILRA6
UniProt:P59901 LILRA4
UniProt:O75019 LILRA1
UniProt:Q8NHL6 LILRB1
UniProt:Q8N423 LILRB2
UniProt:P04233 CD74
UniProt:P53634 CTSC
UniProt:P07858 CTSB
UniProt:P43235 CTSK
UniProt:P43234 CTSO
UniProt:P09668 CTSH
UniProt:P10619 CTSA
UniProt:P14091 CTSE
UniProt:P25774 CTSS
UniProt:O60911 CTSV
UniProt:P07339 CTSD
UniProt:P07711 CTSL
UniProt:Q9UBX1 CTSF
UniProt:Q9UQ16 DNM3
UniProt:Q05193 DNM1
UniProt:P50570 DNM2
UniProt:Q00610-1 CLTC
UniProt:P09496-1 CLTA
UniProt:O43747 AP1G1
UniProt:Q10567 AP1B1
UniProt:Q9BXS5 AP1M1
UniProt:Q9Y6Q5 AP1M2
UniProt:P61966 AP1S1
UniProt:P56377 AP1S2
UniProt:Q96PC3 AP1S3
UniProt:Q00610 CLTC
UniProt:P09496 CLTA
UniProt:O95782 AP2A1
UniProt:O94973 AP2A2
UniProt:Q96CW1 AP2M1
UniProt:P53680 AP2S1
UniProt:P63010 AP2B1
UniProt:Q9BUF5 TUBB6
UniProt:Q13885 TUBB2A
UniProt:P68371 TUBB4B
UniProt:Q9H4B7 TUBB1
UniProt:Q13509 TUBB3
UniProt:Q9BVA1 TUBB2B
UniProt:Q3ZCM7 TUBB8
UniProt:P04350 TUBB4A
UniProt:A6NNZ2 TUBB8B
UniProt:Q9NY65 TUBA8
UniProt:Q9H853 TUBA4B
UniProt:A6NHL2 TUBAL3
UniProt:Q6PEY2 TUBA3E
UniProt:P68363 TUBA1B
UniProt:Q71U36 TUBA1A
UniProt:Q9BQE3 TUBA1C
UniProt:P0DPH7 TUBA3C
UniProt:P0DPH8 TUBA3D
UniProt:P68366 TUBA4A
UniProt:Q13409 DYNC1I2
UniProt:O14576 DYNC1I1
UniProt:Q14204 DYNC1H1
UniProt:Q9Y6G9 DYNC1LI1
UniProt:O43237 DYNC1LI2
UniProt:P63167 DYNLL1
UniProt:Q96FJ2 DYNLL2
UniProt:Q9UJW0 DCTN4
UniProt:O00399 DCTN6
UniProt:Q9BTE1 DCTN5
UniProt:Q9NZ32 ACTR10
UniProt:P61163 ACTR1A
UniProt:Q96KX2 CAPZA3
UniProt:P47756 CAPZB
UniProt:P47755 CAPZA2
UniProt:Q13561 DCTN2
UniProt:O75935 DCTN3
UniProt:Q14203 DCTN1
UniProt:P33176 KIF5B
UniProt:Q12840 KIF5A
UniProt:Q9NSK0 KLC4
UniProt:Q6P597 KLC3
UniProt:Q9H0B6 KLC2
UniProt:Q07866 KLC1
UniProt:Q9Y496 KIF3A
UniProt:O15066 KIF3B
UniProt:O14782 KIF3C
UniProt:Q92845 KIFAP3
UniProt:Q9H0H5 RACGAP1
UniProt:O95235 KIF20A
UniProt:Q02241 KIF23
UniProt:Q8NI77 KIF18A
UniProt:Q9NS87 KIF15
UniProt:Q02224 CENPE
UniProt:Q8N4N8 KIF2B
UniProt:Q99661 KIF2C
UniProt:O00139 KIF2A
UniProt:P52732 KIF11
UniProt:Q9ULI4 KIF26A
UniProt:Q14807 KIF22
UniProt:Q2VIQ3 KIF4B
UniProt:O95239 KIF4A
UniProt:Q66K46 KIF5B
UniProt:Q6PKD1 KIF5C
UniProt:O15020 SPTBN2
UniProt:P42025 ACTR1B
UniProt:Q96NA2 RILP
UniProt:P51149 RAB7A
UniProt:Q9BXW6 OSBPL1A
UniProt:P28068 HLA-DMB
UniProt:P28067 HLA-DMA
UniProt:P06340 HLA-DOA
UniProt:P13765 HLA-DOB
UniProt:P18627 LAG3
UniProt:O94979 SEC31A
UniProt:Q9Y6B6 SAR1B
UniProt:P53992 SEC24C
UniProt:O94855 SEC24D
UniProt:O95486 SEC24A
UniProt:O95487 SEC24B
UniProt:Q15436 SEC23A
UniProt:Q99962 SH3GL2
UniProt:Q99538 LGMN
UniProt:Q13410 BTN1A1
UniProt:P47989 XDH
UniProt:Q8WVV5 BTN2A2
UniProt:O60437 PPL
UniProt:O00481 BTN3A1
UniProt:P78410 BTN3A2
UniProt:O00478 BTN3A3
UniProt:Q6UX41 BTNL8
UniProt:Q6UXG8 BTNL9
UniProt:Q9NNX6 CD209
UniProt:Q7KYR7 BTN2A1
UniProt:Q9UIR0 BTNL2
UniProt:Q7Z6A9 BTLA
UniProt:Q9Y6W8-1 ICOS
UniProt:O75144 ICOSLG
UniProt:P10747 CD28
UniProt:Q9BPZ7 MAPKAP1
UniProt:Q6R327 RICTOR
UniProt:P42345 MTOR
UniProt:P85299 PRR5
UniProt:Q9BVC4 MLST8
UniProt:Q96RU7 TRIB3
UniProt:Q5T1C6 THEM4
UniProt:P0DTC5 M
UniProt:P12931-1 SRC
UniProt:P63000 RAC1
UniProt:Q9NZQ7 CD274
UniProt:Q9BQ51 PDCD1LG2
UniProt:Q15116 PDCD1
UniProt:P16410 CTLA4
UniProt:Q15173 PPP2R5B
UniProt:Q13362 PPP2R5C
UniProt:Q15172 PPP2R5A
UniProt:Q16537 PPP2R5E
UniProt:P11021 HSPA5
UniProt:P30101 PDIA3
UniProt:P27797 CALR
UniProt:O15533 TAPBP
UniProt:P51572 BCAP31
UniProt:Q03518 TAP1
UniProt:Q03519 TAP2
UniProt:Q14457 BECN1
UniProt:Q99570 PIK3R4
UniProt:Q8NEB9 PIK3C3
UniProt:Q6ZNE5 ATG14
UniProt:Q6P179 ERAP2
UniProt:Q9NZ08 ERAP1
UniProt:P22897 MRC1
UniProt:Q9UBG0 MRC2
UniProt:Q9UJ71 CD207
UniProt:Q9UIQ6 LNPEP
UniProt:O00161 SNAP23
UniProt:P58753 TIRAP
UniProt:P26623 mip
UniProt:P08571 CD14
UniProt:O60603 TLR2
UniProt:Q9Y2C9 TLR6
UniProt:Q9Y6Y9 LY96
UniProt:O00206 TLR4
UniProt:P02671 FGA
UniProt:P02679 FGG
UniProt:P02675 FGB
UniProt:P06702 S100A9
UniProt:P05109 S100A8
UniProt:P23297 S100A1
UniProt:Q15399 TLR1
UniProt:P30690 porB
UniProt:P60468 SEC61B
UniProt:P60059 SEC61G
UniProt:Q9H9S3 SEC61A2
UniProt:P61619 SEC61A1
UniProt:Q9BV40 VAMP8
UniProt:Q15836 VAMP3
UniProt:O75396 SEC22B
UniProt:P14598 NCF1
UniProt:Q15080 NCF4
UniProt:P19878 NCF2
UniProt:P13498 CYBA
UniProt:P04839 CYBB
UniProt:P06756 ITGAV
UniProt:P18084 ITGB5
UniProt:Q9P2P5 HECW2
UniProt:Q9C037 TRIM4
UniProt:O15033 AREL1
UniProt:Q86XT4 TRIM50
UniProt:Q9H0C5 BTBD1
UniProt:Q15034 HERC3
UniProt:Q14999 CUL7
UniProt:Q92990 GLMN
UniProt:Q8N3Y1 FBXW8
UniProt:Q9BWF2 TRAIP
UniProt:Q9NVR0 KLHL11
UniProt:Q8IYU2 HACE1
UniProt:Q15345 LRRC41
UniProt:Q15751 HERC1
UniProt:Q5U5Q3 MEX3C
UniProt:O94972 TRIM37
UniProt:Q8TBB1 LNX1
UniProt:Q99619 SPSB2
UniProt:Q9BV68 RNF126
UniProt:Q86XS8 RNF130
UniProt:Q9BSL1 UBAC1
UniProt:Q5GLZ8 HERC4
UniProt:Q8N7E2 CBLL2
UniProt:Q7Z6J8 UBE3D
UniProt:Q9C026 TRIM9
UniProt:Q96F44 TRIM11
UniProt:O94941 UBOX5
UniProt:Q9H0M0 WWP1
UniProt:Q96EF6 FBXO17
UniProt:Q8NI29 FBXO27
UniProt:Q8IWV7 UBR1
UniProt:Q7Z3V4 UBE3B
UniProt:Q9UHC7 MKRN1
UniProt:Q5T4S7 UBR4
UniProt:Q96L50 LRR1
UniProt:Q969Q1 TRIM63
UniProt:Q96A44 SPSB4
UniProt:Q14139 UBE4A
UniProt:Q05086 UBE3A
UniProt:Q9H4M3 FBXO44
UniProt:Q13049 TRIM32
UniProt:Q86Y13 DZIP3
UniProt:Q6UWE0 LRSAM1
UniProt:Q7L5Y6 DET1
UniProt:Q13191 CBLB
UniProt:Q8WVD3 RNF138
UniProt:Q8N6D2 RNF182
UniProt:Q96PM5 RCHY1
UniProt:Q15386 UBE3C
UniProt:Q9H2C0 GAN
UniProt:Q9ULT8 HECTD1
UniProt:O94822 LTN1
UniProt:Q13617 CUL2
UniProt:P40337 VHL
UniProt:Q9UBS8 RNF14
UniProt:Q8WV44 TRIM41
UniProt:Q2Q1W2 TRIM71
UniProt:Q6Q0C0 TRAF7
UniProt:O94874 UFL1
UniProt:Q9HCM9 TRIM39
UniProt:Q7Z6J0 SH3RF1
UniProt:Q9Y576 ASB1
UniProt:Q8WXK1 ASB15
UniProt:Q8WXK3 ASB13
UniProt:Q96DX5 ASB9
UniProt:Q9H672 ASB7
UniProt:Q9H765 ASB8
UniProt:Q96Q27 ASB2
UniProt:Q8WWX0 ASB5
UniProt:A6NK59 ASB14
UniProt:Q6ZVZ8 ASB18
UniProt:Q9Y574 ASB4
UniProt:Q96NS5 ASB16
UniProt:Q8WXI3 ASB10
UniProt:Q8WXK4 ASB12
UniProt:Q8WXH4 ASB11
UniProt:Q9NWX5 ASB6
UniProt:Q8WXJ9 ASB17
UniProt:Q9Y575 ASB3
UniProt:Q6ZNA4 RNF111
UniProt:Q5VTB9 RNF220
UniProt:Q96BH1 RNF25
UniProt:Q9H4P4 RNF41
UniProt:O60260 PRKN
UniProt:P78317 RNF4
UniProt:O95714 HERC2
UniProt:Q9HCE7 SMURF1
UniProt:Q13618 CUL3
UniProt:Q05516 ZBTB16
UniProt:Q9P2K6 KLHL42
UniProt:C9JR72 KBTBD13
UniProt:Q9P2N7 KLHL13
UniProt:Q14145 KEAP1
UniProt:Q53GT1 KLHL22
UniProt:Q9Y2M5 KLHL20
UniProt:Q96KE9 BTBD6
UniProt:Q96PQ7 KLHL5
UniProt:O60662 KLHL41
UniProt:Q9H0H3 KLHL25
UniProt:Q86V97 KBTBD6
UniProt:Q9UJP4 KLHL21
UniProt:Q9P2J3 KLHL9
UniProt:O95198 KLHL2
UniProt:Q96MP8 KCTD7
UniProt:Q8WVZ9 KBTBD7
UniProt:Q9UH77 KLHL3
UniProt:Q8NC69 KCTD6
UniProt:Q8NFY9 KBTBD8
UniProt:Q9UNE7 STUB1
UniProt:O60291 MGRN1
UniProt:Q969K3 RNF34
UniProt:Q5XPI4 RNF123
UniProt:Q9Y252 RNF6
UniProt:Q96J02 ITCH
UniProt:Q9UJX3 ANAPC7
UniProt:Q9BS18 ANAPC13
UniProt:Q9UJX4 ANAPC5
UniProt:Q8NHZ8 CDC26
UniProt:Q12834 CDC20
UniProt:Q9UM11 FZR1
UniProt:Q9NYG5 ANAPC11
UniProt:Q13042 CDC16
UniProt:Q9H1A4 ANAPC1
UniProt:Q9UJX6 ANAPC2
UniProt:Q9UJX5 ANAPC4
UniProt:P30260 CDC27
UniProt:Q9UJX2 CDC23
UniProt:Q9UM13 ANAPC10
UniProt:O43164 PJA2
UniProt:Q5T447 HECTD3
UniProt:Q8NG27 PJA1
UniProt:O95376 ARIH2
UniProt:Q9Y4B6 DCAF1
UniProt:Q86WT6 TRIM69
UniProt:Q7Z6E9 RBBP6
UniProt:Q9Y508 RNF114
UniProt:Q96PU5 NEDD4L
UniProt:Q63HN8 RNF213
UniProt:Q8ND25 ZNRF1
UniProt:Q8NHG8 ZNRF2
UniProt:Q9NQ86 TRIM36
UniProt:Q9H9P5 UNKL
UniProt:Q9UKA2 FBXL4
UniProt:Q9NVW2 RLIM
UniProt:Q96BD6 SPSB1
UniProt:Q8TC41 RNF217
UniProt:Q9NV58 RNF19A
UniProt:Q8WY64 MYLIP
UniProt:Q9BYM8 RBCK1
UniProt:Q5U5R9 HECTD2
UniProt:Q8IVU3 HERC6
UniProt:Q9Y6I7 WSB1
UniProt:Q17RB8 LONRF1
UniProt:Q9Y4L5 RNF115
UniProt:Q14669 TRIP12
UniProt:Q5XUX1 FBXW9
UniProt:Q9UKT7 FBXL3
UniProt:Q8WWI1 LMO7
UniProt:Q9UKA1 FBXL5
UniProt:Q96IG2 FBXL20
UniProt:Q969U6 FBXW5
UniProt:Q96ME1 FBXL18
UniProt:Q96CD0 FBXL8
UniProt:Q9H469 FBXL15
UniProt:Q9Y3I1 FBXO7
UniProt:Q9UK22 FBXO2
UniProt:Q8NEE6 FBXL13
UniProt:Q9UK96 FBXO10
UniProt:Q8TB52 FBXO30
UniProt:Q86XK2 FBXO11
UniProt:Q8NCQ5 FBXO15
UniProt:Q8TF61 FBXO41
UniProt:Q5XUX0 FBXO31
UniProt:Q9UK97 FBXO9
UniProt:Q9UJT9 FBXL7
UniProt:Q8N461 FBXL16
UniProt:Q9NXK8 FBXL12
UniProt:Q9UH90 FBXO40
UniProt:Q6X9E4 FBXW12
UniProt:Q8NEZ5 FBXO22
UniProt:Q5XX13 FBXW10
UniProt:Q969H0 FBXW7
UniProt:P41002 CCNF
UniProt:P57775 FBXW4
UniProt:Q8N1E6 FBXL14
UniProt:Q9UKT6 FBXL21P
UniProt:Q13309 SKP2
UniProt:Q6PCT2 FBXL19
UniProt:O94952 FBXO21
UniProt:Q9UKT5 FBXO4
UniProt:Q9NRD1 FBXO6
UniProt:Q6P050 FBXL22
UniProt:Q9UKT8 FBXW2
UniProt:Q969P5 FBXO32
UniProt:Q7Z6Z7 HUWE1
UniProt:O43255 SIAH2
UniProt:Q9HAU4 SMURF2
UniProt:Q8IUQ4 SIAH1
UniProt:Q6ZMZ0 RNF19B
UniProt:Q8TDB6 DTX3L
UniProt:Q96AX9 MIB2
UniProt:Q8IWV8 UBR2
UniProt:Q7Z419 RNF144B
UniProt:P29144 TPP2
UniProt:Q13867 BLMH
UniProt:P55786 NPEPPS
UniProt:P52888 THOP1
UniProt:Q969T4 UBE2E3
UniProt:Q969M7 UBE2F
UniProt:Q5VVX9 UBE2U
UniProt:Q8N2K1 UBE2J2
UniProt:P63146 UBE2B
UniProt:Q96B02 UBE2W
UniProt:P62256 UBE2H
UniProt:Q9C0C9 UBE2O
UniProt:P60604 UBE2G2
UniProt:Q9H832 UBE2Z
UniProt:Q8WVN8 UBE2Q2
UniProt:P61086 UBE2K
UniProt:Q9Y2X8 UBE2D4
UniProt:Q16763 UBE2S
UniProt:Q9Y385 UBE2J1
UniProt:Q15819 UBE2V2
UniProt:O00762 UBE2C
UniProt:P62253 UBE2G1
UniProt:Q96LR5 UBE2E2
UniProt:Q7Z7E8 UBE2Q1
UniProt:P68036 UBE2L3
UniProt:Q712K3 UBE2R2
UniProt:P49459 UBE2A
UniProt:O95352 ATG7
UniProt:Q9GZZ9 UBA5
UniProt:A0AVT1 UBA6
UniProt:P22314 UBA1
UniProt:Q9NR97 TLR8
UniProt:Q9NYK1 TLR7
UniProt:Q9NR96 TLR9
UniProt:O15455 TLR3
UniProt:Q9H1C4 UNC93B1
UniProt:Q9BT09 CNPY3
UniProt:Q9BXR5 TLR10
UniProt:P04949 fliC
UniProt:O60602 TLR5
UniProt:Q13233 MAP3K1
UniProt:Q9BQ95 ECSIT
UniProt:Q6SZW1-1 SARM1
UniProt:Q86XR7 TICAM2
UniProt:Q8IUC6 TICAM1
UniProt:Q13546 RIPK1
UniProt:Q13158 FADD
UniProt:Q9Y572 RIPK3
UniProt:Q92844 TANK
UniProt:Q14164 IKBKE
UniProt:O95711 LY86
UniProt:Q99467 CD180
UniProt:Q8IWL2 SFTPA1
UniProt:Q8IWL1 SFTPA2
UniProt:P17213 BPI
UniProt:Q9H1K0 RBSN
UniProt:Q15075 EEA1
UniProt:P04114 APOB
UniProt:O60443 GSDME
UniProt:P0C0L4 C4A
UniProt:P0C0L5 C4B
UniProt:P06681 C2
UniProt:P00751 CFB
UniProt:P27918 CFP
UniProt:P01031 C5
UniProt:O00187-1 MASP2
UniProt:P48740 MASP1
UniProt:P11226 MBL2
UniProt:Q15485 FCN2
UniProt:O00602 FCN1
UniProt:O75636 FCN3
UniProt:Q9BWP8 COLEC11
UniProt:Q9Y6Z7 COLEC10
UniProt:P01860 IGHG3
UniProt:P01859 IGHG2
UniProt:P00736 C1R
UniProt:P09871 C1S
UniProt:P02745 C1QA
UniProt:P02747 C1QC
UniProt:P02746 C1QB
UniProt:P02741 CRP
UniProt:P51124 GZMM
UniProt:P00746 CFD
UniProt:P20851 C4BPB
UniProt:P04003 C4BPA
UniProt:P15529 CD46
UniProt:P05155 SERPING1
UniProt:P04004 VTN
UniProt:P13671 C6
UniProt:P10643 C7
UniProt:P07225 PROS1
UniProt:P05156 CFI
UniProt:Q02985 CFHR3
UniProt:P08603 CFH
UniProt:P08246 ELANE
UniProt:P00734 F2
UniProt:P02748 C9
UniProt:P07358 C8B
UniProt:P07360 C8G
UniProt:P07357 C8A
UniProt:P13987 CD59
UniProt:Q03591 CFHR1
UniProt:Q9BXR6 CFHR5
UniProt:Q92496 CFHR4
UniProt:P36980 CFHR2
UniProt:P21730 C5AR1
UniProt:P10909 CLU
UniProt:Q16581 C3AR1
UniProt:P08174 CD55
UniProt:P17927 CR1
UniProt:Q96IY4 CPB2
UniProt:P22792 CPN2
UniProt:P15169 CPN1
UniProt:P20023 CR2
UniProt:Q9P296 C5AR2
UniProt:Q9BY15 ADGRE3
UniProt:O75165 DNAJC13
UniProt:P16284 PECAM1
UniProt:Q13576 IQGAP2
UniProt:Q01469 FABP5
UniProt:P25024 CXCR1
UniProt:Q5T9A4 ATAD3B
UniProt:P25025 CXCR2
UniProt:Q9NP90 RAB9B
UniProt:O60610 DIAPH1
UniProt:O00241 SIRPB1
UniProt:P46940 IQGAP1
UniProt:P55160 NCKAP1L
UniProt:Q9NP72 RAB18
UniProt:P15291 B4GALT1
UniProt:P11717 IGF2R
UniProt:Q7L591 DOK3
UniProt:Q86UQ4 ABCA13
UniProt:P11169 SLC2A3
UniProt:P51575 P2RX1
UniProt:Q8WTT0 CLEC4C
UniProt:P17931 LGALS3
UniProt:P43353 ALDH3B1
UniProt:P61018 RAB4B
UniProt:Q969Q5 RAB24
UniProt:Q7Z7N9 TMEM179B
UniProt:Q9HBH0 RHOF
UniProt:Q8N138 ORMDL3
UniProt:P35237 SERPINB6
UniProt:P61586 RHOA
UniProt:P20336 RAB3A
UniProt:P20340 RAB6A
UniProt:Q5JV73 FRMPD3
UniProt:P48960 ADGRE5
UniProt:P84095 RHOG
UniProt:P61020 RAB5B
UniProt:P12318 FCGR2A
UniProt:Q8NHG7 SVIP
UniProt:P61026 RAB10
UniProt:Q96D96 HVCN1
UniProt:Q86WV6 STING1
UniProt:Q13636 RAB31
UniProt:P48595 SERPINB10
UniProt:O75015 FCGR3B
UniProt:Q93050 ATP6V0A1
UniProt:P19256 CD58
UniProt:P08473 MME
UniProt:Q9NPY3 CD93
UniProt:P15144 ANPEP
UniProt:P53618 COPB1
UniProt:P13688 CEACAM1
UniProt:Q68CP4 HGSNAT
UniProt:Q9Y2Q0 ATP8A1
UniProt:Q13393 PLD1
UniProt:P98196 ATP11A
UniProt:Q10588 BST1
UniProt:O00264 PGRMC1
UniProt:Q9NY25 CLEC5A
UniProt:Q86Y34 ADGRG3
UniProt:Q5QGZ9 CLEC12A
UniProt:Q08722 CD47
UniProt:Q8WXI8 CLEC4D
UniProt:Q8N6Q3 CD177
UniProt:Q9NV96 TMEM30A
UniProt:Q969X1 TMBIM1
UniProt:P00749 PLAU
UniProt:Q8NG11 TSPAN14
UniProt:Q9H3Z4 DNAJC5
UniProt:Q9Y5K8 ATP6V1D
UniProt:P27105 STOM
UniProt:P22732 SLC2A5
UniProt:P31997 CEACAM8
UniProt:P78325 ADAM8
UniProt:O75907 DGAT1
UniProt:O14975 SLC27A2
UniProt:O14672 ADAM10
UniProt:Q07065 CKAP4
UniProt:Q7Z6P3 RAB44
UniProt:O15120 AGPAT2
UniProt:P24071 FCAR
UniProt:Q9NPA2 MMP25
UniProt:O15126 SCAMP1
UniProt:Q03405 PLAUR
UniProt:Q96AX2 RAB37
UniProt:P61225 RAP2B
UniProt:P25090 FPR2
UniProt:O94886 TMEM63A
UniProt:Q7Z403 TMC6
UniProt:Q8N697 SLC15A4
UniProt:Q9Y2Q5 LAMTOR2
UniProt:Q9UHA4 LAMTOR3
UniProt:P40198 CEACAM3
UniProt:P19397 CD53
UniProt:B6A8C7 TARM1
UniProt:P30926 CHRNB4
UniProt:Q6ZQN7 SLCO4C1
UniProt:Q14165 MLEC
UniProt:O94804 STK10
UniProt:Q6IAA8 LAMTOR1
UniProt:P30519 HMOX2
UniProt:Q13303 KCNAB2
UniProt:Q9NQS5 GPR84
UniProt:P23467 PTPRB
UniProt:Q4KMQ2 ANO6
UniProt:Q8IX19 MCEMP1
UniProt:Q9NX76 CMTM6
UniProt:Q8NHP6 MOSPD2
UniProt:Q8IWA5 SLC44A2
UniProt:Q8TF62 ATP8B4
UniProt:O94759 TRPM2
UniProt:P78380 OLR1
UniProt:O60784 TOM1
UniProt:Q96HJ5 MS4A3
UniProt:O15121 DEGS1
UniProt:Q8NET5 NFAM1
UniProt:O95415 BRI3
UniProt:P42785 PRCP
UniProt:O15260 SURF4
UniProt:P49768 PSEN1
UniProt:P27449 ATP6V0C
UniProt:Q9P0L0 VAPA
UniProt:P11279 LAMP1
UniProt:P01833 PIGR
UniProt:Q99829 CPNE1
UniProt:O75131 CPNE3
UniProt:Q9Y2G3 ATP11B
UniProt:P48060 GLIPR1
UniProt:P08962 CD63
UniProt:P39656 DDOST
UniProt:Q96BM9 ARL8A
UniProt:P13473 LAMP2
UniProt:Q8NF37 LPCAT1
UniProt:O43759 SYNGR1
UniProt:P10620 MGST1
UniProt:O95721 SNAP29
UniProt:Q92542 NCSTN
UniProt:Q9H0U3 MAGT1
UniProt:P51148 RAB5C
UniProt:O95497 VNN1
UniProt:O95298 NDUFC2
UniProt:P07602 PSAP
UniProt:P10253 GAA
UniProt:O95716 RAB3D
UniProt:P15309 ACP3
UniProt:Q12912 IRAG2
UniProt:P34810 CD68
UniProt:P40199 CEACAM6
UniProt:O00462 MANBA
UniProt:P18206 VCL
UniProt:Q14314 FGL2
UniProt:P68402 PAFAH1B2
UniProt:Q9Y315 DERA
UniProt:O75874 IDH1
UniProt:P09211 GSTP1
UniProt:P08238 HSP90AB1
UniProt:Q13162 PRDX4
UniProt:O60234 GMFG
UniProt:P16278 GLB1
UniProt:P00491 PNP
UniProt:P63172 DYNLT1
UniProt:P15586 GNS
UniProt:Q96G03 PGM2
UniProt:P0DMV9 HSPA1B
UniProt:P08236 GUSB
UniProt:P68104 EEF1A1
UniProt:O00571 DDX3X
UniProt:P02794 FTH1
UniProt:P22392 NME2
UniProt:Q14764 MVP
UniProt:P04040 CAT
UniProt:P04075 ALDOA
UniProt:P36871 PGM1
UniProt:Q9P0J7 KCMF1
UniProt:P52790 HK3
UniProt:P68871 HBB
UniProt:P17066 HSPA6
UniProt:P13639 EEF2
UniProt:Q12905 ILF2
UniProt:P18669 PGAM1
UniProt:P98066 TNFAIP6
UniProt:P06737 PYGL
UniProt:P06744 GPI
UniProt:Q92882 OSTF1
UniProt:Q9UJU6 DBNL
