MoleculeName
UniProt:Q9C035 TRIM5
UniProt:Q6AZZ1 TRIM68
UniProt:Q9BZY9 TRIM31
UniProt:O00635 TRIM38
UniProt:Q12899 TRIM26
UniProt:P29590 PML
UniProt:O15344 MID1
UniProt:Q8IYM9 TRIM22
UniProt:Q9BYJ4 TRIM34
UniProt:Q9BZR9 TRIM8
UniProt:P19474 TRIM21
UniProt:P02795 MT2A
UniProt:P23497 SP100
UniProt:P25105 PTAFR
UniProt:P13284 IFI30
UniProt:P61769 B2M
UniProt:P33076 CIITA
UniProt:P17706-2 PTPN2
UniProt:P63165 SUMO1
UniProt:O75925 PIAS1
UniProt:Q13554 CAMK2B
UniProt:Q9UQM7 CAMK2A
UniProt:Q13557 CAMK2D
UniProt:Q13555 CAMK2G
UniProt:Q05655 PRKCD
UniProt:P40763 STAT3
UniProt:Q99062 CSF3R
UniProt:P07948 LYN
UniProt:P09919 CSF3
UniProt:P43405 SYK
UniProt:P08631 HCK
UniProt:P62993 GRB2
UniProt:P29353 SHC1
UniProt:Q9UQC2 GAB2
UniProt:P01116 KRAS
UniProt:Q93034 CUL5
UniProt:Q15370 ELOB
UniProt:Q15369 ELOC
UniProt:Q9UBF6 RNF7
UniProt:P62837 UBE2D2
UniProt:P51668 UBE2D1
UniProt:P61077 UBE2D3
UniProt:O14508 SOCS2
UniProt:Q9NSE2 CISH
UniProt:P35568 IRS1
UniProt:Q9Y4H2 IRS2
UniProt:P28482 MAPK1
UniProt:P78536 ADAM17
UniProt:P42336 PIK3CA
UniProt:P27986 PIK3R1
UniProt:Q13322 GRB10
UniProt:P36888 FLT3
UniProt:P49771 FLT3LG
UniProt:P62993-1 GRB2
UniProt:P31751 AKT2
UniProt:Q9Y243 AKT3
UniProt:P31749 AKT1
UniProt:O43524 FOXO3
UniProt:P46527 CDKN1B
UniProt:O43521 BCL2L11
UniProt:Q07889 SOS1
UniProt:P01116-2 KRAS
UniProt:P01111 NRAS
UniProt:P01116-1 KRAS
UniProt:P01112 HRAS
UniProt:P22681 CBL
UniProt:Q9UQQ2 SH2B3
UniProt:Q13239 SLA
UniProt:Q9H6Q3 SLA2
UniProt:O14544 SOCS6
UniProt:Q12913 PTPRJ
UniProt:P42684 ABL2
UniProt:P41240 CSK
UniProt:O75791 GRAP2
UniProt:P06241 FYN
