MoleculeName	
UniProt:Q8N3Y1 FBXW8	
UniProt:Q9BWF2 TRAIP	
UniProt:Q9NVR0 KLHL11	
UniProt:Q8IYU2 HACE1	
UniProt:Q15345 LRRC41	
UniProt:Q93034 CUL5	
UniProt:Q15369 ELOC	
UniProt:Q15370 ELOB	
UniProt:Q15751 HERC1	
UniProt:Q5U5Q3 MEX3C	
UniProt:O94972 TRIM37	
UniProt:Q8TBB1 LNX1	
UniProt:Q99619 SPSB2	
UniProt:Q9BV68 RNF126	
UniProt:Q86XS8 RNF130	
UniProt:Q9BSL1 UBAC1	
UniProt:Q5GLZ8 HERC4	
UniProt:Q8N7E2 CBLL2	
UniProt:Q7Z6J8 UBE3D	
UniProt:Q9C026 TRIM9	
UniProt:Q96F44 TRIM11	
UniProt:O94941 UBOX5	
UniProt:Q9H0M0 WWP1	
UniProt:Q96EF6 FBXO17	
UniProt:Q8NI29 FBXO27	
UniProt:Q8IWV7 UBR1	
UniProt:Q7Z3V4 UBE3B	
UniProt:Q9UHC7 MKRN1	
UniProt:Q5T4S7 UBR4	
UniProt:Q96L50 LRR1	
UniProt:O15524 SOCS1	
UniProt:O14543 SOCS3	
UniProt:Q969Q1 TRIM63	
UniProt:Q96A44 SPSB4	
UniProt:Q14139 UBE4A	
UniProt:Q05086 UBE3A	
UniProt:Q9H4M3 FBXO44	
UniProt:Q13049 TRIM32	
UniProt:Q86Y13 DZIP3	
UniProt:Q6UWE0 LRSAM1	
UniProt:Q7L5Y6 DET1	
UniProt:Q13191 CBLB	
UniProt:Q8WVD3 RNF138	
UniProt:Q8N6D2 RNF182	
UniProt:Q96PM5 RCHY1	
UniProt:Q15386 UBE3C	
UniProt:Q9H2C0 GAN	
UniProt:Q9ULT8 HECTD1	
UniProt:O94822 LTN1	
UniProt:Q13617 CUL2	
UniProt:P40337 VHL	
UniProt:Q9UBS8 RNF14	
UniProt:Q8WV44 TRIM41	
UniProt:Q2Q1W2 TRIM71	
UniProt:Q6Q0C0 TRAF7	
UniProt:O94874 UFL1	
UniProt:Q9HCM9 TRIM39	
UniProt:Q7Z6J0 SH3RF1	
UniProt:Q9Y576 ASB1	
UniProt:Q8WXK1 ASB15	
UniProt:Q8WXK3 ASB13	
UniProt:Q96DX5 ASB9	
UniProt:Q9H672 ASB7	
UniProt:Q9H765 ASB8	
UniProt:Q96Q27 ASB2	
UniProt:Q8WWX0 ASB5	
UniProt:A6NK59 ASB14	
UniProt:Q6ZVZ8 ASB18	
UniProt:Q9Y574 ASB4	
UniProt:Q96NS5 ASB16	
UniProt:Q8WXI3 ASB10	
UniProt:Q8WXK4 ASB12	
UniProt:Q8WXH4 ASB11	
UniProt:Q9NWX5 ASB6	
UniProt:Q8WXJ9 ASB17	
UniProt:Q9Y575 ASB3	
UniProt:Q9UBF6 RNF7	
UniProt:Q6ZNA4 RNF111	
UniProt:Q5VTB9 RNF220	
UniProt:Q96BH1 RNF25	
UniProt:Q9H4P4 RNF41	
UniProt:O60260 PRKN	
UniProt:P78317 RNF4	
UniProt:O95714 HERC2	
UniProt:Q9HCE7 SMURF1	
UniProt:Q13618 CUL3	
UniProt:Q05516 ZBTB16	
UniProt:Q9P2K6 KLHL42	
UniProt:C9JR72 KBTBD13	
UniProt:Q9P2N7 KLHL13	
UniProt:Q14145 KEAP1	
UniProt:Q53GT1 KLHL22	
UniProt:Q9Y2M5 KLHL20	
UniProt:Q96KE9 BTBD6	
UniProt:Q96PQ7 KLHL5	
UniProt:O60662 KLHL41	
UniProt:Q9H0H3 KLHL25	
UniProt:Q86V97 KBTBD6	
UniProt:Q9UJP4 KLHL21	
UniProt:Q9P2J3 KLHL9	
UniProt:O95198 KLHL2	
UniProt:Q96MP8 KCTD7	
UniProt:Q8WVZ9 KBTBD7	
UniProt:Q9UH77 KLHL3	
UniProt:Q8NC69 KCTD6	
UniProt:Q8NFY9 KBTBD8	
UniProt:Q9UNE7 STUB1	
UniProt:O60291 MGRN1	
UniProt:Q969K3 RNF34	
UniProt:Q5XPI4 RNF123	
UniProt:Q9Y252 RNF6	
UniProt:Q96J02 ITCH	
UniProt:Q9UJX3 ANAPC7	
UniProt:Q9BS18 ANAPC13	
UniProt:Q9UJX4 ANAPC5	
UniProt:Q8NHZ8 CDC26	
UniProt:Q12834 CDC20	
UniProt:Q9UM11 FZR1	
UniProt:Q9NYG5 ANAPC11	
UniProt:Q13042 CDC16	
UniProt:Q9H1A4 ANAPC1	
UniProt:Q9UJX6 ANAPC2	
UniProt:Q9UJX5 ANAPC4	
UniProt:P30260 CDC27	
UniProt:Q9UJX2 CDC23	
UniProt:Q9UM13 ANAPC10	
UniProt:P46934 NEDD4	
UniProt:O43164 PJA2	
UniProt:Q5T447 HECTD3	
UniProt:Q8NG27 PJA1	
UniProt:O95376 ARIH2	
UniProt:Q9Y4B6 DCAF1	
UniProt:Q86WT6 TRIM69	
UniProt:Q7Z6E9 RBBP6	
UniProt:Q9Y508 RNF114	
UniProt:Q96PU5 NEDD4L	
UniProt:Q63HN8 RNF213	
UniProt:Q8ND25 ZNRF1	
UniProt:Q8NHG8 ZNRF2	
UniProt:Q9NQ86 TRIM36	
UniProt:Q9H9P5 UNKL	
UniProt:Q13616 CUL1	
UniProt:Q9UKA2 FBXL4	
UniProt:Q9NVW2 RLIM	
UniProt:Q96BD6 SPSB1	
UniProt:Q8TC41 RNF217	
UniProt:Q9NV58 RNF19A	
UniProt:Q8WY64 MYLIP	
UniProt:Q9BYM8 RBCK1	
UniProt:Q5U5R9 HECTD2	
UniProt:Q8IVU3 HERC6	
UniProt:Q9Y6I7 WSB1	
UniProt:Q17RB8 LONRF1	
UniProt:Q9Y4L5 RNF115	
UniProt:Q14669 TRIP12	
UniProt:Q5XUX1 FBXW9	
UniProt:Q9UKT7 FBXL3	
UniProt:Q8WWI1 LMO7	
UniProt:Q9UKA1 FBXL5	
UniProt:Q96IG2 FBXL20	
UniProt:Q969U6 FBXW5	
UniProt:Q9UKB1 FBXW11	
UniProt:Q96ME1 FBXL18	
UniProt:Q96CD0 FBXL8	
UniProt:Q9H469 FBXL15	
UniProt:Q9Y3I1 FBXO7	
UniProt:Q9UK22 FBXO2	
UniProt:Q8NEE6 FBXL13	
UniProt:Q9Y297 BTRC	
UniProt:Q9UK96 FBXO10	
UniProt:Q8TB52 FBXO30	
UniProt:Q86XK2 FBXO11	
UniProt:Q8NCQ5 FBXO15	
UniProt:Q8TF61 FBXO41	
UniProt:Q5XUX0 FBXO31	
UniProt:Q9UK97 FBXO9	
UniProt:Q9UJT9 FBXL7	
UniProt:Q8N461 FBXL16	
UniProt:Q9NXK8 FBXL12	
UniProt:Q9UH90 FBXO40	
UniProt:Q6X9E4 FBXW12	
UniProt:Q8NEZ5 FBXO22	
UniProt:Q5XX13 FBXW10	
UniProt:Q969H0 FBXW7	
UniProt:P41002 CCNF	
UniProt:P57775 FBXW4	
UniProt:Q8N1E6 FBXL14	
UniProt:Q9UKT6 FBXL21P	
UniProt:Q13309 SKP2	
UniProt:Q6PCT2 FBXL19	
UniProt:O94952 FBXO21	
UniProt:Q9UKT5 FBXO4	
UniProt:Q9NRD1 FBXO6	
UniProt:Q6P050 FBXL22	
UniProt:Q9UKT8 FBXW2	
UniProt:Q969P5 FBXO32	
UniProt:Q7Z6Z7 HUWE1	
UniProt:O43255 SIAH2	
UniProt:Q9HAU4 SMURF2	
UniProt:Q8IUQ4 SIAH1	
UniProt:Q9UII4 HERC5	
UniProt:Q6ZMZ0 RNF19B	
UniProt:Q8TDB6 DTX3L	
UniProt:Q96AX9 MIB2	
UniProt:Q8IWV8 UBR2	
UniProt:Q7Z419 RNF144B	
UniProt:P19474 TRIM21	
UniProt:P29144 TPP2	
UniProt:Q13867 BLMH	
UniProt:P55786 NPEPPS	
UniProt:P52888 THOP1	
UniProt:Q969T4 UBE2E3	
UniProt:Q969M7 UBE2F	
UniProt:Q5VVX9 UBE2U	
UniProt:P61088 UBE2N	
UniProt:Q8N2K1 UBE2J2	
UniProt:Q13404 UBE2V1	
UniProt:P63146 UBE2B	
UniProt:Q96B02 UBE2W	
UniProt:P62256 UBE2H	
UniProt:Q9C0C9 UBE2O	
UniProt:P60604 UBE2G2	
UniProt:Q9H832 UBE2Z	
UniProt:P61081 UBE2M	
UniProt:Q8WVN8 UBE2Q2	
UniProt:P49427 CDC34	
UniProt:P62837 UBE2D2	
UniProt:P61086 UBE2K	
UniProt:Q9Y2X8 UBE2D4	
UniProt:Q16763 UBE2S	
UniProt:P41226 UBA7	
UniProt:P61077 UBE2D3	
UniProt:Q9Y385 UBE2J1	
UniProt:Q15819 UBE2V2	
UniProt:O00762 UBE2C	
UniProt:P62253 UBE2G1	
UniProt:Q96LR5 UBE2E2	
UniProt:Q7Z7E8 UBE2Q1	
UniProt:P68036 UBE2L3	
UniProt:Q712K3 UBE2R2	
UniProt:P51668 UBE2D1	
UniProt:P51965 UBE2E1	
UniProt:O14933 UBE2L6	
UniProt:P49459 UBE2A	
UniProt:O95352 ATG7	
UniProt:Q9GZZ9 UBA5	
UniProt:A0AVT1 UBA6	
UniProt:P22314 UBA1	
UniProt:Q8TBC4 UBA3	
