MoleculeName
UniProt:P50148 GNAQ
UniProt:O95837 GNA14
UniProt:P47900 P2RY1
UniProt:Q16539 MAPK14
UniProt:P47712 PLA2G4A
UniProt:Q9H244 P2RY12
UniProt:P08754 GNAI3
UniProt:P63096 GNAI1
UniProt:P04899 GNAI2
UniProt:A8MTJ3 GNAT3
UniProt:P62937 PPIA
UniProt:Q01518 CAP1
UniProt:P23528 CFL1
UniProt:P07737 PFN1
UniProt:O15439 ABCC4
UniProt:Q06481 APLP2
UniProt:Q96C24 SYTL4
UniProt:Q6YHK3 CD109
UniProt:P05106 ITGB3
UniProt:P08514 ITGA2B
UniProt:P16284 PECAM1
UniProt:O60245 PCDH7
UniProt:P16109 SELP
UniProt:P21926 CD9
UniProt:O75167 PHACTR2
UniProt:Q9UHQ9 CYB5R1
UniProt:P16671 CD36
UniProt:Q96JJ7 TMX3
UniProt:Q6ZUX7 LHFPL2
UniProt:Q5SQ64 LY6G6F
UniProt:Q9BYX7 POTEKP
UniProt:Q8WZ42 TTN
UniProt:P18206 VCL
UniProt:P55145 MANF
UniProt:P08758 ANXA5
UniProt:P0DP23 CALM1
UniProt:Q15833 STXBP2
UniProt:P00441 SOD1
UniProt:O75083 WDR1
UniProt:Q5JVS0 HABP4
UniProt:O94919 ENDOD1
UniProt:P37802 TAGLN2
UniProt:Q9ULD4 BRPF3
UniProt:Q9Y490 TLN1
UniProt:P08567 PLEK
UniProt:P08962 CD63
UniProt:P13473 LAMP2
UniProt:O00194 RAB27B
UniProt:P02787 TF
UniProt:P02647 APOA1
UniProt:Q8WXD2 SCG3
UniProt:Q7L3B6 CDC37L1
UniProt:P02749 APOH
UniProt:Q13103 SPP2
UniProt:P49908 SELENOP
UniProt:P29622 SERPINA4
UniProt:Q06033 ITIH3
UniProt:P35625 TIMP3
UniProt:Q08380 LGALS3BP
UniProt:Q92520 FAM3C
UniProt:Q99969 RARRES2
UniProt:Q16610 ECM1
UniProt:Q14624 ITIH4
UniProt:P56202 CTSW
UniProt:P05452 CLEC3B
UniProt:Q9NUQ9 CYRIB
UniProt:Q8NBF2 NHLRC2
UniProt:P01133 EGF
UniProt:P05155 SERPING1
UniProt:P02776 PF4
UniProt:P01042 KNG1
UniProt:P05019 IGF1
UniProt:P01344 IGF2
UniProt:P05121 SERPINE1
UniProt:P00747 PLG
UniProt:P04196 HRG
UniProt:P09486 SPARC
UniProt:O43707 ACTN4
UniProt:P12814 ACTN1
UniProt:P35609 ACTN2
UniProt:P00746 CFD
UniProt:P02775 PPBP
UniProt:Q13201 MMRN1
UniProt:P01137 TGFB1
UniProt:P61812 TGFB2
UniProt:P10600 TGFB3
UniProt:O00292 LEFTY2
UniProt:P02768 ALB
UniProt:P07225 PROS1
UniProt:P14210 HGF
UniProt:P12259 F5
UniProt:P08697 SERPINF2
UniProt:P02751 FN1
UniProt:P62328 TMSB4X
UniProt:P00488 F13A1
UniProt:P01009 SERPINA1
UniProt:P05067 APP
UniProt:P01023 A2M
UniProt:P02679 FGG
UniProt:P02671 FGA
UniProt:P02675 FGB
UniProt:P01033 TIMP1
UniProt:P10124 SRGN
UniProt:P04075 ALDOA
UniProt:P10909 CLU
UniProt:Q9Y6I9 TEX264
UniProt:P07996 THBS1
UniProt:P00451 F8
UniProt:Q6UXV4 APOOL
UniProt:Q14393 GAS6
UniProt:O14498 ISLR
UniProt:Q86UX7 FERMT3
UniProt:P01011 SERPINA3
UniProt:P02763 ORM1
UniProt:P02765 AHSG
UniProt:P04085-1 PDGFA
UniProt:P01127 PDGFB
UniProt:Q9NTK5 OLA1
UniProt:P19652 ORM2
UniProt:Q8NBM8 PCYOX1L
UniProt:Q8NBX0 SCCPDH
UniProt:P15692 VEGFA
UniProt:P49767 VEGFC
UniProt:O43915 VEGFD
UniProt:P49765 VEGFB
UniProt:Q9UNF1 MAGED2
UniProt:Q9UEU0 VTI1B
UniProt:Q9BX10 GTPBP2
UniProt:Q9NXH8 TOR4A
UniProt:P04217 A1BG
UniProt:O00391 QSOX1
UniProt:P07602 PSAP
UniProt:Q9BWS9 CHID1
UniProt:O43852 CALU
UniProt:P11021 HSPA5
UniProt:P05129 PRKCG
UniProt:P17252 PRKCA
UniProt:P05771 PRKCB
UniProt:O00186 STXBP3
UniProt:Q12846 STX4
UniProt:Q96RI0 F2RL3
UniProt:O00254 F2RL2
UniProt:Q03113 GNA12
UniProt:P25116 F2R
UniProt:P32121 ARRB2
UniProt:P27361 MAPK3
UniProt:P28482 MAPK1
UniProt:P00734 F2
UniProt:P49407 ARRB1
UniProt:P40238 MPL
UniProt:P40225 THPO
UniProt:P18825 ADRA2C
UniProt:P18089 ADRA2B
UniProt:P08913 ADRA2A
UniProt:Q7Z5R6 APBB1IP
UniProt:P62834 RAP1A
UniProt:P61224 RAP1B
UniProt:P12931 SRC
UniProt:Q05397 PTK2
UniProt:P41240 CSK
UniProt:Q7LDG7 RASGRP2
UniProt:O95267 RASGRP1
UniProt:P62993-1 GRB2
UniProt:Q07889 SOS1
UniProt:O95398 RAPGEF3
UniProt:Q8WZA2 RAPGEF4
UniProt:P18031 PTPN1
UniProt:O15530 PDPK1
UniProt:P31749 AKT1
UniProt:P43405 SYK
UniProt:P29353 SHC1
UniProt:P56945 BCAR1
UniProt:P46108 CRK
UniProt:P06241 FYN
UniProt:P30273 FCER1G
UniProt:Q9HCN6 GP6
UniProt:P07948 LYN
UniProt:P16885 PLCG2
UniProt:Q86YL7 PDPN
UniProt:Q9P126 CLEC1B
UniProt:P52735 VAV2
UniProt:P15498 VAV1
UniProt:Q9UKW4 VAV3
UniProt:Q13094 LCP2
UniProt:P61586 RHOA
UniProt:P84095 RHOG
UniProt:Q05513 PRKCZ
UniProt:P06239 LCK
UniProt:O43561 LAT
UniProt:P29350 PTPN6
UniProt:Q06124 PTPN11
UniProt:O95866 MPIG6B
UniProt:P15153 RAC2
UniProt:P42338 PIK3CB
UniProt:Q92569 PIK3R3
UniProt:O00459 PIK3R2
UniProt:Q8WYR1 PIK3R5
UniProt:Q5UE93 PIK3R6
UniProt:P48736 PIK3CG
UniProt:P42336 PIK3CA
UniProt:P62745 RHOB
UniProt:P24723 PRKCH
UniProt:Q05655 PRKCD
UniProt:Q04759 PRKCQ
UniProt:Q02156 PRKCE
UniProt:Q9Y4D2 DAGLA
UniProt:Q8NCG7 DAGLB
UniProt:Q9BV23 ABHD6
UniProt:Q8N2K0 ABHD12
UniProt:Q99685 MGLL
UniProt:Q16760 DGKD
UniProt:Q5KSL6 DGKK
UniProt:O75912 DGKI
UniProt:P49619 DGKG
UniProt:P52824 DGKQ
UniProt:Q86XP1 DGKH
UniProt:Q13574 DGKZ
UniProt:P52429 DGKE
UniProt:Q9Y6T7 DGKB
UniProt:P23743 DGKA
UniProt:Q14643 ITPR1
UniProt:Q14573 ITPR3
UniProt:Q14571 ITPR2
UniProt:Q13507 TRPC3
UniProt:Q9HCX4 TRPC7
UniProt:Q9Y210 TRPC6
UniProt:P00750 PLAT
UniProt:Q03405 PLAUR
UniProt:P00749 PLAU
UniProt:P07093 SERPINE2
UniProt:P50452 SERPINB8
UniProt:P35237 SERPINB6
UniProt:P05120 SERPINB2
UniProt:P07355 ANXA2
UniProt:P60903 S100A10
UniProt:P17301 ITGA2
UniProt:P05556 ITGB1
UniProt:O75578 ITGA10
UniProt:P56199 ITGA1
UniProt:Q99487 PAFAH2
UniProt:P56373 P2RX3
UniProt:Q99571 P2RX4
UniProt:Q99572 P2RX7
UniProt:Q9UBL9 P2RX2
UniProt:P51575 P2RX1
UniProt:O15547 P2RX6
UniProt:Q93086 P2RX5
UniProt:P43119 PTGIR
UniProt:Q5JWF2 GNAS
UniProt:P63092 GNAS
UniProt:P09769 FGR
UniProt:Q14114 LRP8
UniProt:P04114 APOB
UniProt:P30153 PPP2R1A
UniProt:P30154 PPP2R1B
UniProt:Q15173 PPP2R5B
UniProt:Q13362 PPP2R5C
UniProt:Q15172 PPP2R5A
UniProt:Q14738 PPP2R5D
UniProt:Q16537 PPP2R5E
UniProt:P67775 PPP2CA
UniProt:P62714 PPP2CB
UniProt:P23634 ATP2B4
UniProt:Q01814 ATP2B2
UniProt:Q16720 ATP2B3
UniProt:P20020 ATP2B1
UniProt:O14983 ATP2A1
UniProt:Q93084 ATP2A3
UniProt:P16615 ATP2A2
UniProt:P32418 SLC8A1
UniProt:P57103 SLC8A3
UniProt:Q9UPR5 SLC8A2
UniProt:P30626 SRI
UniProt:Q96SN7 ORAI2
UniProt:Q96D31 ORAI1
UniProt:Q13586 STIM1
UniProt:P29474 NOS3
UniProt:P35228 NOS2
UniProt:P29475 NOS1
UniProt:O75343 GUCY1B2
UniProt:Q02153 GUCY1B1
UniProt:P33402 GUCY1A2
UniProt:Q02108 GUCY1A1
UniProt:Q13976-1 PRKG1
UniProt:Q13237 PRKG2
UniProt:Q86W47 KCNMB4
UniProt:Q9NPA1 KCNMB3
UniProt:Q9Y691 KCNMB2
UniProt:Q16558 KCNMB1
UniProt:Q12791 KCNMA1
UniProt:Q9Y6F6 IRAG1
UniProt:P54750 PDE1A
UniProt:Q01064 PDE1B
UniProt:O00408 PDE2A
UniProt:Q9HCR9 PDE11A
UniProt:Q9Y233 PDE10A
UniProt:O76083 PDE9A
UniProt:O76074 PDE5A
UniProt:P01591 JCHAIN
UniProt:Q6PIL0 IGHV7-81
UniProt:P01742 IGHV1-69
