MoleculeName
UniProt:Q30167 HLA-DRB1
UniProt:Q95IE3 HLA-DRB1
UniProt:P01911 HLA-DRB1
UniProt:P01920 HLA-DQB1
UniProt:P05538 HLA-DQB2
UniProt:P01912 HLA-DRB1
UniProt:P13761 HLA-DRB1
UniProt:P79483 HLA-DRB3
UniProt:P13760 HLA-DRB1
UniProt:Q9GIY3 HLA-DRB1
UniProt:P20039 HLA-DRB1
UniProt:P04229 HLA-DRB1
UniProt:Q5Y7A7 HLA-DRB1
UniProt:P13762 HLA-DRB4
UniProt:Q29974 HLA-DRB1
UniProt:Q30134 HLA-DRB1
UniProt:Q30154 HLA-DRB5
UniProt:P04440 HLA-DPB1
UniProt:Q9TQE0 HLA-DRB1
UniProt:P20036 HLA-DPA1
UniProt:P01903 HLA-DRA
UniProt:P01909 HLA-DQA1
UniProt:P01906 HLA-DQA2
UniProt:P04233 CD74
UniProt:P53634 CTSC
UniProt:P07858 CTSB
UniProt:P43235 CTSK
UniProt:P43234 CTSO
UniProt:P09668 CTSH
UniProt:P10619 CTSA
UniProt:P14091 CTSE
UniProt:P25774 CTSS
UniProt:O60911 CTSV
UniProt:P07339 CTSD
UniProt:P07711 CTSL
UniProt:Q9UBX1 CTSF
UniProt:Q9UQ16 DNM3
UniProt:Q05193 DNM1
UniProt:P50570 DNM2
UniProt:Q00610-1 CLTC
UniProt:P09496-1 CLTA
UniProt:O43747 AP1G1
UniProt:Q10567 AP1B1
UniProt:Q9BXS5 AP1M1
UniProt:Q9Y6Q5 AP1M2
UniProt:P61966 AP1S1
UniProt:P56377 AP1S2
UniProt:Q96PC3 AP1S3
UniProt:Q00610 CLTC
UniProt:P09496 CLTA
UniProt:O95782 AP2A1
UniProt:O94973 AP2A2
UniProt:Q96CW1 AP2M1
UniProt:P53680 AP2S1
UniProt:P63010 AP2B1
UniProt:Q9BUF5 TUBB6
UniProt:Q13885 TUBB2A
UniProt:P68371 TUBB4B
UniProt:Q9H4B7 TUBB1
UniProt:Q13509 TUBB3
UniProt:Q9BVA1 TUBB2B
UniProt:Q3ZCM7 TUBB8
UniProt:P04350 TUBB4A
UniProt:A6NNZ2 TUBB8B
UniProt:Q9NY65 TUBA8
UniProt:Q9H853 TUBA4B
UniProt:A6NHL2 TUBAL3
UniProt:Q6PEY2 TUBA3E
UniProt:P68363 TUBA1B
UniProt:Q71U36 TUBA1A
UniProt:Q9BQE3 TUBA1C
UniProt:P0DPH7 TUBA3C
UniProt:P0DPH8 TUBA3D
UniProt:P68366 TUBA4A
UniProt:Q13409 DYNC1I2
UniProt:O14576 DYNC1I1
UniProt:Q14204 DYNC1H1
UniProt:Q9Y6G9 DYNC1LI1
UniProt:O43237 DYNC1LI2
UniProt:P63167 DYNLL1
UniProt:Q96FJ2 DYNLL2
UniProt:Q9UJW0 DCTN4
UniProt:O00399 DCTN6
UniProt:Q9BTE1 DCTN5
UniProt:Q9NZ32 ACTR10
UniProt:P61163 ACTR1A
UniProt:Q96KX2 CAPZA3
UniProt:P47756 CAPZB
UniProt:P47755 CAPZA2
UniProt:P52907 CAPZA1
UniProt:Q13561 DCTN2
UniProt:O75935 DCTN3
UniProt:Q14203 DCTN1
UniProt:P33176 KIF5B
UniProt:Q12840 KIF5A
UniProt:Q9NSK0 KLC4
UniProt:Q6P597 KLC3
UniProt:Q9H0B6 KLC2
UniProt:Q07866 KLC1
UniProt:Q9Y496 KIF3A
UniProt:O15066 KIF3B
UniProt:O14782 KIF3C
UniProt:Q92845 KIFAP3
UniProt:Q9H0H5 RACGAP1
UniProt:O95235 KIF20A
UniProt:Q02241 KIF23
UniProt:Q8NI77 KIF18A
UniProt:Q9NS87 KIF15
UniProt:Q02224 CENPE
UniProt:Q8N4N8 KIF2B
UniProt:Q99661 KIF2C
UniProt:O00139 KIF2A
UniProt:P52732 KIF11
UniProt:Q9ULI4 KIF26A
UniProt:Q14807 KIF22
UniProt:Q2VIQ3 KIF4B
UniProt:O95239 KIF4A
UniProt:Q66K46 KIF5B
UniProt:Q6PKD1 KIF5C
UniProt:O15020 SPTBN2
UniProt:P42025 ACTR1B
UniProt:Q96NA2 RILP
UniProt:P51149 RAB7A
UniProt:Q9BXW6 OSBPL1A
UniProt:P28068 HLA-DMB
UniProt:P28067 HLA-DMA
UniProt:P06340 HLA-DOA
UniProt:P13765 HLA-DOB
UniProt:P84077 ARF1
UniProt:P18627 LAG3
UniProt:O94979 SEC31A
UniProt:P55735 SEC13
UniProt:Q9Y6B6 SAR1B
UniProt:P53992 SEC24C
UniProt:O94855 SEC24D
UniProt:O95486 SEC24A
UniProt:O95487 SEC24B
UniProt:Q15436 SEC23A
UniProt:P13284 IFI30
UniProt:P27824 CANX
UniProt:Q99962 SH3GL2
UniProt:Q99538 LGMN
