MoleculeName
UniProt:P62979 RPS27A
UniProt:Q8TD47 RPS4Y2
UniProt:P62701 RPS4X
UniProt:P22090 RPS4Y1
UniProt:P62854 RPS26
UniProt:P62851 RPS25
UniProt:P62847 RPS24
UniProt:Q71UM5 RPS27L
UniProt:P42677 RPS27
UniProt:P62266 RPS23
UniProt:P63220 RPS21
UniProt:P60866 RPS20
UniProt:P15880 RPS2
UniProt:P62244 RPS15A
UniProt:P39019 RPS19
UniProt:P62269 RPS18
UniProt:P08708 RPS17
UniProt:P62249 RPS16
UniProt:P62841 RPS15
UniProt:P62263 RPS14
UniProt:P62277 RPS13
UniProt:P25398 RPS12
UniProt:P62280 RPS11
UniProt:P08865 RPSA
UniProt:P46783 RPS10
UniProt:P46781 RPS9
UniProt:P62241 RPS8
UniProt:Q92900 UPF1
UniProt:Q92540 SMG7
UniProt:O15234 CASC3
UniProt:P38919 EIF4A3
UniProt:P61326 MAGOH
UniProt:Q96A72 MAGOHB
UniProt:Q9Y5S9 RBM8A
UniProt:Q9H1J1 UPF3A
UniProt:Q9BZI7 UPF3B
UniProt:Q9HAU5 UPF2
UniProt:Q15287 RNPS1
UniProt:Q9H1J1-2 UPF3A
UniProt:Q9UPR3 SMG5
UniProt:Q86US8 SMG6
UniProt:P63151 PPP2R2A
UniProt:P67775 PPP2CA
UniProt:P30153 PPP2R1A
UniProt:Q8ND04 SMG8
UniProt:Q9H0W8 SMG9
UniProt:Q96Q15 SMG1
UniProt:Q9NPI6 DCP1A
UniProt:Q9NPJ4 PNRC2
UniProt:P31946 YWHAB
UniProt:Q07352 ZFP36L1
UniProt:P31749 AKT1
UniProt:P49137 MAPKAPK2
UniProt:Q9NQT5 EXOSC3
UniProt:Q9Y3B2 EXOSC1
UniProt:Q06265 EXOSC9
UniProt:Q5RKV6 EXOSC6
UniProt:Q9NQT4 EXOSC5
UniProt:Q15024 EXOSC7
UniProt:Q9NPD3 EXOSC4
UniProt:Q96B26 EXOSC8
UniProt:Q9Y2L1 DIS3
UniProt:Q13868 EXOSC2
UniProt:Q8IU60 DCP2
UniProt:Q8IZH2 XRN1
UniProt:P26651 ZFP36
UniProt:Q92973 TNPO1
UniProt:Q92945 KHSRP
UniProt:O95453 PARN
UniProt:Q16539 MAPK14
UniProt:Q15759 MAPK11
UniProt:P63104 YWHAZ
UniProt:Q14103-3 HNRNPD
UniProt:Q14103-4 HNRNPD
UniProt:P04792 HSPB1
UniProt:P11142 HSPA8
UniProt:P0DMV8 HSPA1A
UniProt:P0CG48 UBC
UniProt:P0CG47 UBB
UniProt:O43242 PSMD3
UniProt:P60900 PSMA6
UniProt:Q13200 PSMD2
UniProt:P28066 PSMA5
UniProt:Q9UNM6 PSMD13
UniProt:P25789 PSMA4
UniProt:O00232 PSMD12
UniProt:P25788 PSMA3
UniProt:O00231 PSMD11
UniProt:P25787 PSMA2
UniProt:P60896 SEM1
UniProt:O75832 PSMD10
UniProt:P25786 PSMA1
UniProt:Q99460 PSMD1
UniProt:O00487 PSMD14
UniProt:P62333 PSMC6
UniProt:P62195 PSMC5
UniProt:P43686 PSMC4
UniProt:P17980 PSMC3
UniProt:P35998 PSMC2
UniProt:P62191 PSMC1
UniProt:P28065 PSMB9
UniProt:P28062 PSMB8
UniProt:A5LHX3 PSMB11
UniProt:Q14997 PSME4
UniProt:Q99436 PSMB7
UniProt:P28072 PSMB6
UniProt:Q8TAA3 PSMA8
UniProt:Q92530 PSMF1
UniProt:P61289 PSME3
UniProt:P28074 PSMB5
UniProt:Q9UL46 PSME2
UniProt:P28070 PSMB4
UniProt:Q06323 PSME1
UniProt:O00233 PSMD9
UniProt:P49720 PSMB3
UniProt:P48556 PSMD8
UniProt:P49721 PSMB2
UniProt:P51665 PSMD7
UniProt:Q15008 PSMD6
UniProt:P40306 PSMB10
UniProt:Q16401 PSMD5
UniProt:P20618 PSMB1
UniProt:P55036 PSMD4
UniProt:O14818 PSMA7
UniProt:P17252 PRKCA
UniProt:Q15717 ELAVL1
UniProt:Q05655 PRKCD
UniProt:P39687 ANP32A
UniProt:Q01105 SET
UniProt:O14980 XPO1
UniProt:O75888 TNFSF13
UniProt:O60942 RNGTT
UniProt:Q92759 GTF2H4
UniProt:P19447 ERCC3
UniProt:Q13889 GTF2H3
UniProt:Q13888 GTF2H2
UniProt:P32780 GTF2H1
UniProt:Q6ZYL4 GTF2H5
UniProt:P50613 CDK7
UniProt:P51948 MNAT1
UniProt:P51946 CCNH
UniProt:P18074 ERCC2
UniProt:P30876 POLR2B
UniProt:P19388 POLR2E
UniProt:P53803 POLR2K
UniProt:P19387 POLR2C
UniProt:P62875 POLR2L
UniProt:P52434 POLR2H
UniProt:P61218 POLR2F
UniProt:O15514 POLR2D
UniProt:P36954 POLR2I
UniProt:P52435 POLR2J
UniProt:P24928 POLR2A
UniProt:P62487 POLR2G
UniProt:P35269 GTF2F1
UniProt:P13984 GTF2F2
UniProt:O00267 SUPT5H
UniProt:O43148 RNMT
UniProt:O43709 BUD23
UniProt:Q9UNQ2 DIMT1
UniProt:Q9NRX1 PNO1
UniProt:P46087 NOP2
UniProt:Q9UJK0 TSR3
UniProt:P22087 FBL
UniProt:Q9Y2X3 NOP58
UniProt:P55769 SNU13
UniProt:O00567 NOP56
UniProt:Q9H0A0 NAT10
UniProt:Q9NXG2 THUMPD1
UniProt:Q9BVI4 NOC4L
UniProt:Q9H8H0 NOL11
UniProt:Q9Y5J1 UTP18
UniProt:Q9UNX4 WDR3
UniProt:Q9NYH9 UTP6
UniProt:Q8NI36 WDR36
UniProt:Q12788 TBL3
UniProt:Q15269 PWP2
UniProt:Q9Y324 FCF1
UniProt:Q9NV06 DCAF13
UniProt:Q13601 KRR1
UniProt:O15213 WDR46
UniProt:Q8IY37 DHX37
UniProt:Q9H0S4 DDX47
UniProt:Q92979 EMG1
UniProt:Q9Y6V7 DDX49
UniProt:Q5TAP6 UTP14C
UniProt:Q9BVJ6 UTP14A
UniProt:O43818 RRP9
UniProt:Q9Y2P8 RCL1
UniProt:Q14692 BMS1
UniProt:Q14690 PDCD11
UniProt:P78316 NOP14
UniProt:Q9Y3A4 RRP7A
UniProt:Q9H6R4 NOL6
UniProt:Q96EU6 RRP36
UniProt:Q9Y3A2 UTP11
UniProt:O00566 MPHOSPH10
UniProt:Q96G21 IMP4
UniProt:Q9NV31 IMP3
UniProt:Q9NQZ2 UTP3
UniProt:Q9Y2R4 DDX52
UniProt:Q969X6 UTP4
UniProt:Q8TED0 UTP15
UniProt:Q9H583 HEATR1
UniProt:Q15061 WDR43
UniProt:Q8IWA0 WDR75
UniProt:Q68CQ4 UTP25
UniProt:O75691 UTP20
UniProt:Q9NX24 NHP2
UniProt:Q9NY12 GAR1
UniProt:O60832 DKC1
UniProt:Q9NPE3 NOP10
UniProt:P49674 CSNK1E
UniProt:P48730 CSNK1D
UniProt:Q9ULX3 NOB1
UniProt:Q9BVS4 RIOK2
UniProt:Q13895 BYSL
UniProt:Q96GA3 LTV1
UniProt:O14730 RIOK3
UniProt:Q2NL82 TSR1
UniProt:Q9BRS2 RIOK1
UniProt:P42285 MTREX
UniProt:Q99547 MPHOSPH6
UniProt:Q01780 EXOSC10
UniProt:Q13901 C1D
UniProt:Q9Y221 NIP7
UniProt:Q8IY81 FTSJ3
UniProt:Q9H4L4 SENP3
UniProt:Q9Y4W2 LAS1L
UniProt:Q9NXF1 TEX10
UniProt:Q8IZL8 PELP1
UniProt:Q9BV38 WDR18
UniProt:Q5SY16 NOL9
UniProt:O00541 PES1
UniProt:Q14137 BOP1
UniProt:Q9GZL7 WDR12
UniProt:Q99848 EBNA1BP2
UniProt:Q9BVP2 GNL3
UniProt:Q9NR30 DDX21
UniProt:Q8IV48 ERI1
UniProt:Q9H9L3 ISG20L2
UniProt:Q9UGY1 NOL12
UniProt:Q9H0D6 XRN2
UniProt:Q9NW13 RBM28
UniProt:P56182 RRP1
UniProt:P19338 NCL
UniProt:Q9UI43 MRM2
UniProt:Q6IN84 MRM1
UniProt:Q7Z6M4 MTERF4
UniProt:Q96CB9 NSUN4
UniProt:Q8WVM0 TFB1M
UniProt:Q9HC36 MRM3
UniProt:O94913 PCF11
UniProt:Q05048 CSTF1
UniProt:Q9H0L4 CSTF2T
UniProt:Q12996 CSTF3
UniProt:Q86U42 PABPN1
UniProt:Q92797 SYMPK
UniProt:Q9P2I0 CPSF2
UniProt:Q9UKF6 CPSF3
UniProt:Q9C0J8 WDR33
UniProt:Q6UN15 FIP1L1
UniProt:P51003 PAPOLA
UniProt:O43809 NUDT21
UniProt:Q16630-1 CPSF6
UniProt:Q8N684 CPSF7
UniProt:Q16630-2 CPSF6
UniProt:Q15366 PCBP2
UniProt:P26599 PTBP1
UniProt:P38159 RBMX
UniProt:P98175 RBM10
UniProt:Q01130 SRSF2
UniProt:Q9BRL6 SRSF8
UniProt:Q13242 SRSF9
UniProt:Q8WXF0 SRSF12
UniProt:Q05519 SRSF11
UniProt:Q13243 SRSF5
UniProt:P67809 YBX1
UniProt:P35637 FUS
UniProt:P52597 HNRNPF
UniProt:P31943 HNRNPH1
UniProt:P09651 HNRNPA1
UniProt:P55795 HNRNPH2
UniProt:P22626 HNRNPA2B1
UniProt:P61978 HNRNPK
UniProt:P51991 HNRNPA3
UniProt:P14866 HNRNPL
UniProt:P52272 HNRNPM
UniProt:Q14103 HNRNPD
UniProt:O43390 HNRNPR
UniProt:P62995 TRA2B
UniProt:O75494 SRSF10
UniProt:P84103 SRSF3
UniProt:Q08170 SRSF4
UniProt:Q13247 SRSF6
UniProt:Q16629 SRSF7
UniProt:Q07955 SRSF1
UniProt:Q00839 HNRNPU
UniProt:P07910 HNRNPC
UniProt:Q15365 PCBP1
UniProt:Q13838 DDX39B
UniProt:O00148 DDX39A
UniProt:Q9BY77 POLDIP3
UniProt:Q96QD9 FYTTD1
UniProt:Q9P127 LUZP4
UniProt:Q86V81 ALYREF
UniProt:O75152 ZC3H11A
UniProt:O95391 SLU7
UniProt:P26368 U2AF2
UniProt:Q8IYB3 SRRM1
UniProt:Q01081 U2AF1
UniProt:Q8WU68 U2AF1L4
UniProt:Q92620 DHX38
UniProt:O60508 CDC40
UniProt:Q9Y3Y2 CHTOP
UniProt:P82979 SARNP
UniProt:Q13769 THOC5
UniProt:Q96J01 THOC3
UniProt:Q8NI27 THOC2
UniProt:Q96FV9 THOC1
UniProt:Q6I9Y2 THOC7
UniProt:Q86W42 THOC6
UniProt:Q9UBU9 NXF1
UniProt:P06730 EIF4E
UniProt:Q14493 SLBP
UniProt:Q9GZY0 NXF2
UniProt:Q9UKK6 NXT1
UniProt:Q53GS7 GLE1
UniProt:Q13523 PRPF4B
UniProt:Q9BTD8 RBM42
UniProt:O43290 SART1
UniProt:P83876 TXNL4A
UniProt:Q6P2Q9 PRPF8
UniProt:Q96DI7 SNRNP40
UniProt:Q9BUQ8 DDX23
UniProt:P62304 SNRPE
UniProt:P62306 SNRPF
UniProt:P62308 SNRPG
UniProt:P62314 SNRPD1
UniProt:P14678 SNRPB
UniProt:P62318 SNRPD3
UniProt:P62316 SNRPD2
UniProt:O94906 PRPF6
UniProt:Q15029 EFTUD2
UniProt:O75643 SNRNP200
UniProt:Q8WVK2 SNRNP27
UniProt:O43395 PRPF3
UniProt:O43172 PRPF4
UniProt:O43447 PPIH
UniProt:Q8WWY3 PRPF31
UniProt:P62310 LSM3
UniProt:Q9Y4Z0 LSM4
UniProt:Q9UK45 LSM7
UniProt:Q9Y333 LSM2
UniProt:Q9Y4Y9 LSM5
UniProt:O95777 LSM8
UniProt:P62312 LSM6
UniProt:Q53GS9 USP39
UniProt:Q2TAY7 SMU1
UniProt:Q9UQ35 SRRM2
UniProt:Q13123 IK
